EventID,PDGcode,nopflash,flash,flash_time,flashPE,maxhitamp,meanhitamp,maxhitarea,meanhitarea,maxhitwidth,meanhitwidth,maxhitPE,meanhitPE,maxhitrisetime,meanhitrisetime
14,-13,1,0,0.00138748,24706.6,7983.18,83.3201,466663,1891.06,2.804,0.0542442,2333.31,9.45528,0.128,0.00495216
15,-13,1,0,0.0010121,17554.6,6209.99,71.9572,290455,1204.02,2.262,0.0476667,1452.28,6.0201,0.1,0.00469204
16,-13,1,0,0.00124501,23924.3,7285.36,81.1883,448947,1707.66,2.53,0.0529279,2244.73,8.53828,0.346,0.00509136
17,-13,2,0,0.00301317,7571.7,3921.59,71.0539,163106,1070.96,1.634,0.0463479,815.532,5.35481,0.148,0.0046959
17,-13,2,1,8.20429,1210.51,3921.59,71.0539,163106,1070.96,1.634,0.0463479,815.532,5.35481,0.148,0.0046959
18,-13,1,0,2.96372,2529.44,2853.68,58.6625,59807.8,645.264,0.434,0.0404337,299.039,3.22632,0.032,0.00443878
19,-13,1,0,0.00174758,18012.2,6593.66,75.0173,365374,1483.09,2.468,0.0498057,1826.87,7.41547,0.422,0.00509922
20,-13,1,0,0.00147763,17353.7,6835.27,74.7084,352001,1429.47,2.146,0.0491746,1760,7.14734,0.12,0.00495799
1,-13,1,0,0.00202772,6005.21,3573.56,63.403,159290,888.345,1.554,0.0450429,796.449,4.44172,0.116,0.00479586
2,-13,1,0,0.00128584,7180.2,3461.08,64.5462,120765,852.25,0.91,0.04393,603.827,4.26125,0.126,0.00460297
3,-13,1,0,0.0014571,10856.2,4804.38,70.2902,161060,1065.9,1.216,0.0465007,805.299,5.32948,0.122,0.00474423
4,-13,1,0,0.000716185,16326.2,5597.39,72.4972,354506,1396,2.494,0.0495827,1772.53,6.98,0.26,0.00509791
5,-13,1,0,0.655132,2588.99,3071.12,63.1465,72975.8,722.172,0.812,0.0413529,364.879,3.61086,0.058,0.00454393
6,-13,1,0,0.00178998,9287.01,4601.66,65.6941,183417,944.282,1.572,0.0444159,917.084,4.72141,0.08,0.00460702
7,-13,1,0,1.49867,3064.81,1734.69,57.2616,69343.2,702.937,0.968,0.0421307,346.716,3.51469,0.596,0.00525229
8,-13,2,0,0.000952506,7941.71,4085.05,69.7276,170407,986.548,1.63,0.0456,852.034,4.93274,0.116,0.00483478
8,-13,2,1,8.14913,1000.76,4085.05,69.7276,170407,986.548,1.63,0.0456,852.034,4.93274,0.116,0.00483478
9,-13,1,0,0.00276375,13373.7,5481.24,74.3435,226260,1237.73,1.848,0.048249,1131.3,6.18866,0.202,0.00479593
10,-13,1,0,2.07033,1499.1,1759.51,57.5793,20822.1,574.367,0.25,0.0393985,104.111,2.87184,0.054,0.00450192
11,-13,1,0,0.0010121,16102.7,5632.26,71.9055,214861,1124.88,1.808,0.0464604,1074.3,5.6244,0.088,0.00467412
12,-13,1,0,0.000716185,8944.5,3537.66,65.7236,132607,919.27,1.332,0.0448037,663.037,4.59635,0.308,0.00481501
13,-13,1,0,0.00127167,12855.5,4988.82,70.331,216316,1067.73,1.938,0.0464244,1081.58,5.33867,0.076,0.00470017
14,-13,2,0,0.00138748,25551.9,8241.9,80.8027,460162,1615.16,2.562,0.0518142,2300.81,8.07581,0.138,0.00489191
14,-13,2,1,8.00265,1189.27,8241.9,80.8027,460162,1615.16,2.562,0.0518142,2300.81,8.07581,0.138,0.00489191
15,-13,1,0,0.000512103,17873.3,6342.86,73.8717,390395,1545.46,2.438,0.0513567,1951.97,7.72732,0.134,0.0048396
16,-13,1,0,0.00172082,24216.5,7679.77,75.2445,376519,1427.86,2.458,0.0492889,1882.6,7.13929,0.086,0.00494693
17,-13,1,0,0.0014571,8563.88,4655.16,67.1375,175627,992.338,1.53,0.0455666,878.134,4.96169,0.244,0.0048737
18,-13,1,0,2.02912,2188.3,2255.67,58.5967,34370.7,617.293,0.386,0.0399492,171.853,3.08647,0.034,0.00449647
19,-13,1,0,0.00164429,17391.7,6848.15,74.2435,295769,1334.23,2.004,0.0491208,1478.84,6.67115,0.284,0.00503797
20,-13,1,0,0.00138285,18087.2,6164.5,72.0525,355323,1340.29,2.76,0.0490952,1776.62,6.70146,0.068,0.00477955
1,-13,1,0,0.00176375,6119.45,3361.55,63.3913,188271,925.787,2.08,0.0444705,941.355,4.62893,0.266,0.00499849
2,-13,1,0,0.000789984,6855.45,3949.7,66.0936,129234,841.16,1.158,0.0442503,646.17,4.2058,0.082,0.00478037
3,-13,1,0,0.00212377,10378.4,5270.68,69.3254,258911,1181.38,2.076,0.0473796,1294.56,5.9069,0.278,0.00501537
4,-13,1,0,0.00164429,17049.1,6212.68,73.5201,326958,1358.5,2.388,0.0491203,1634.79,6.79248,0.51,0.00508765
5,-13,1,0,1.24876,3979.21,3860.78,69.0469,92997.5,931.9,1.002,0.0445738,464.987,4.6595,0.114,0.00469087
6,-13,1,0,0.00212377,11341.3,4246.44,68.7613,222753,1234.77,2.088,0.0485226,1113.77,6.17383,0.076,0.00498312
7,-13,2,0,-0.000210016,3324.52,2640.16,60.8204,56722.5,759.023,0.574,0.0422055,283.612,3.79511,0.124,0.00460274
7,-13,2,1,10.8704,3571.92,2640.16,60.8204,56722.5,759.023,0.574,0.0422055,283.612,3.79511,0.124,0.00460274
8,-13,1,0,0.00269438,9490.49,3890.24,70.1671,223201,1128.48,1.848,0.0471843,1116.01,5.64238,0.182,0.0050321
9,-13,1,0,0.00127167,13434.5,5681.93,71.5143,251576,1214.69,2.202,0.0480633,1257.88,6.07345,0.13,0.00473689
10,-13,1,0,1.37503,2378.06,2506.41,58.7489,54604.1,647.09,0.5,0.040215,273.021,3.23545,0.036,0.00449796
11,-13,1,0,0.00121618,14809.1,5472.69,72.7542,270692,1366.78,2.17,0.0492127,1353.46,6.83391,0.108,0.00479188
12,-13,1,0,0.00202772,8773.47,4588.99,67.2757,156626,971.054,1.274,0.0455196,783.128,4.85527,0.074,0.00460321
13,-13,2,0,0.000716185,9586.5,4955.38,68.2619,227773,1115.36,1.824,0.0460838,1138.87,5.57679,0.062,0.00454916
13,-13,2,1,14.8328,1164.8,4955.38,68.2619,227773,1115.36,1.824,0.0460838,1138.87,5.57679,0.062,0.00454916
14,-13,1,0,0.00105415,18217.7,6844.56,78.4959,342977,1561.07,2.498,0.051084,1714.88,7.80535,0.106,0.00491088
15,-13,1,0,0.00212377,18254.4,6086.68,75.8935,391301,1378.21,3.33,0.0498097,1956.5,6.89105,0.342,0.00504417
16,-13,1,0,0.00164429,27227.9,8947.48,79.835,493680,1579.35,2.826,0.0508933,2468.4,7.89673,0.13,0.00486717
17,-13,1,0,0.000271668,8322.17,4177.9,65.4815,219007,1018,2.104,0.0455951,1095.03,5.09001,0.088,0.00474006
